RunID,Date,DAQTimeLapse,DriftField_V_per_cm
361217,2019-06-28 09:50:50,38.0,231.02436823104694
361218,2019-06-28 09:52:34,38.0,231.0063176895307
361219,2019-06-28 09:54:17,38.0,231.0063176895307
361220,2019-06-28 09:56:01,38.0,230.97924187725633
361221,2019-06-28 09:57:44,39.0,230.99729241877256
361222,2019-06-28 09:59:28,39.0,230.99729241877256
361223,2019-06-28 10:01:12,38.0,230.99729241877256
361224,2019-06-28 10:02:55,39.0,230.99729241877256
361226,2019-06-28 10:06:22,38.0,230.97924187725633
361227,2019-06-28 10:08:06,38.0,230.97924187725633
361228,2019-06-28 10:09:49,39.0,230.99729241877256
361229,2019-06-28 10:11:35,38.0,230.97924187725633
361230,2019-06-28 10:13:18,39.0,230.97924187725633
361231,2019-06-28 10:15:03,38.0,230.97924187725633
361232,2019-06-28 10:16:48,38.0,230.97924187725633
361233,2019-06-28 10:18:31,39.0,231.0063176895307
361234,2019-06-28 10:20:15,39.0,231.0063176895307
361235,2019-06-28 10:22:00,39.0,230.99729241877256
361236,2019-06-28 10:23:44,38.0,230.99729241877256
361237,2019-06-28 10:25:27,39.0,230.99729241877256
361238,2019-06-28 10:27:11,38.0,230.99729241877256
361239,2019-06-28 10:28:54,39.0,230.99729241877256
361240,2019-06-28 10:30:38,38.0,230.97924187725633
361241,2019-06-28 10:32:21,39.0,230.99729241877256
361242,2019-06-28 10:34:05,38.0,231.0063176895307
361243,2019-06-28 10:35:48,39.0,230.97924187725633
361244,2019-06-28 10:37:32,38.0,231.0063176895307
361245,2019-06-28 10:39:16,38.0,230.99729241877256
361247,2019-06-28 10:42:43,38.0,231.0063176895307
361248,2019-06-28 10:44:26,38.0,231.0063176895307
361249,2019-06-28 10:46:10,38.0,230.97924187725633
361250,2019-06-28 10:47:54,38.0,230.97924187725633
361251,2019-06-28 10:49:37,38.0,231.0063176895307
361252,2019-06-28 10:51:21,38.0,230.97924187725633
361253,2019-06-28 10:53:04,38.0,230.97924187725633
361254,2019-06-28 10:54:48,38.0,230.99729241877256
361255,2019-06-28 10:56:32,38.0,231.0063176895307
361256,2019-06-28 10:58:16,38.0,231.0063176895307
361257,2019-06-28 11:00:01,38.0,230.99729241877256
361258,2019-06-28 11:01:44,39.0,230.97924187725633
361259,2019-06-28 11:03:29,38.0,231.0063176895307
361260,2019-06-28 11:05:12,38.0,230.99729241877256
361261,2019-06-28 11:06:55,38.0,230.99729241877256
361262,2019-06-28 11:08:39,38.0,230.99729241877256
361263,2019-06-28 11:10:22,39.0,230.97924187725633
361264,2019-06-28 11:12:06,38.0,230.99729241877256
361265,2019-06-28 11:13:50,38.0,231.0063176895307
361266,2019-06-28 11:15:33,38.0,230.97924187725633
361267,2019-06-28 11:17:16,38.0,230.99729241877256
361268,2019-06-28 11:19:00,38.0,230.97924187725633
361269,2019-06-28 11:20:43,38.0,231.0063176895307
361270,2019-06-28 11:22:27,38.0,230.99729241877256
361271,2019-06-28 11:24:11,37.0,230.99729241877256
361273,2019-06-28 11:27:38,38.0,230.99729241877256
361274,2019-06-28 11:29:22,38.0,230.97924187725633
361275,2019-06-28 11:31:05,38.0,231.0063176895307
361276,2019-06-28 11:32:49,38.0,230.97924187725633
361277,2019-06-28 11:34:32,38.0,230.99729241877256
361278,2019-06-28 11:36:16,38.0,230.99729241877256
361279,2019-06-28 11:38:02,38.0,230.97924187725633
361280,2019-06-28 11:39:45,38.0,230.97924187725633
361281,2019-06-28 11:41:28,38.0,230.99729241877256
361282,2019-06-28 11:43:12,38.0,230.97924187725633
361283,2019-06-28 11:44:56,38.0,230.99729241877256
361284,2019-06-28 11:46:39,38.0,230.97924187725633
361285,2019-06-28 11:48:23,38.0,230.97924187725633
361287,2019-06-28 11:51:50,38.0,231.02436823104694
361288,2019-06-28 11:53:33,38.0,230.97924187725633
361289,2019-06-28 11:55:17,38.0,230.97924187725633
361290,2019-06-28 11:57:01,37.0,230.99729241877256
361291,2019-06-28 11:58:44,38.0,230.97924187725633
361292,2019-06-28 12:00:28,38.0,230.99729241877256
361293,2019-06-28 12:02:11,38.0,230.99729241877256
361294,2019-06-28 12:03:55,38.0,231.0063176895307
361295,2019-06-28 12:05:38,39.0,230.97924187725633
361296,2019-06-28 12:07:22,38.0,230.97924187725633
361297,2019-06-28 12:09:06,38.0,231.0063176895307
